node,in_degree,out_degree,betweenness,pagerank
199.0,1,1,4.453347180274166e-07,0.00010737469586814673
332.0,1,2,0.0006529879351190579,0.00019710293305657498
203.0,1,1,2.3157405337425664e-05,0.00011302105531278876
205.0,1,1,3.518144272416591e-05,0.00019606789701587046
204.0,1,13,0.0004435533791553069,0.0001950354968479477
208.0,6,1,0.0014713859083625843,0.001257492081184196
213.0,1,1,0.0,0.00011137934746040164
218.0,1,1,0.0,0.00011180646687993844
239.0,1,1,4.631481067485133e-05,0.00026665771246354444
206.0,1,1,0.0009837443921225633,0.0011688710450530066
207.0,1,1,1.33600415408225e-06,0.0001928610822153512
209.0,1,1,0.0,0.00017240115959299982
210.0,1,1,0.0,0.00018638005303181024
211.0,1,1,1.7813388721096664e-06,0.0003795118180838312
212.0,1,4,0.0025669093147100293,0.00025970941365674607
711.0,2,2,0.037915091719230035,0.00020277810522538022
214.0,1,1,6.323752995989315e-05,0.0002714811570356532
215.0,1,1,0.0021331532993513255,0.0001878934278314659
216.0,2,1,8.906694360548332e-06,0.00040158774180301324
217.0,1,1,0.00048140683018763736,0.0003288374320796975
219.0,1,1,0.0005433083559934482,0.00020174124151630925
220.0,2,3,0.011733233815868344,0.0002462242890189625
234.0,2,1,0.0032928049050947182,0.0001697112812020486
237.0,1,2,0.007519476713892929,0.00021939598592065284
221.0,1,1,7.615223678268824e-05,0.000240835639416337
229.0,1,1,9.39656255037849e-05,0.0003047102935038864
222.0,2,5,0.0017341333919987602,0.00033498362409793025
317.0,1,1,9.352029078575749e-06,0.00015305954547792383
223.0,1,1,0.0009601416520671102,0.0002692204907359122
