source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count,corridor_risk,corridor
IND722154AAA,IND712311AAA,5.803305711485343,0.3919279983683791,77.7493,412.0,1.0,3,2.7389006841046504,IND722154AAA → IND712311AAA
IND208017AAA,IND209304AAA,3.8754376058723885,2.9459442804758647,16.94032,51.8,1.0,5,2.733958326491715,IND208017AAA → IND209304AAA
IND210427AAA,IND209304AAA,3.634970900003215,3.2445846126016176,113.3413469387755,305.1224489795918,0.9795918367346939,49,2.7212412948021796,IND210427AAA → IND209304AAA
IND411021AAA,IND411033AAA,2.5659307953950807,4.861393777235283,11.797860714285715,35.267857142857146,0.7857142857142857,56,2.720504737042903,IND411021AAA → IND411033AAA
IND000000AAZ,IND444203AAA,4.5316734417344176,1.9981612128748316,52.518966666666664,181.66666666666666,1.0,3,2.7121177405562165,IND000000AAZ → IND444203AAA
IND600044AAD,IND600048AAA,3.839475017735887,2.9604151559914054,11.989878260869565,41.52173913043478,0.9565217391304348,23,2.710871075630907,IND600044AAD → IND600048AAA
IND411014AAA,IND411043AAA,4.628135514560854,1.8397067067509483,15.2264,70.0,1.0,13,2.703166217849626,IND411014AAA → IND411043AAA
IND600032AAB,IND600008AAC,6.0,0.0,10.0476,48.0,1.0,2,2.7,IND600032AAB → IND600008AAC
IND410501AAF,IND411033AAA,4.331770833333334,2.2130918911463398,14.7167,64.0,1.0,8,2.696635900677235,IND410501AAF → IND411033AAA
IND421302AAR,IND421301AAA,4.527198455139632,1.9501652874374755,12.358011764705882,42.44117647058823,1.0,34,2.6959289682870953,IND421302AAR → IND421301AAA
IND508207AAB,IND507002AAA,3.5193678086578712,3.278109401769701,59.822860000000006,147.75,1.0,20,2.691179943994059,IND508207AAB → IND507002AAA
IND600116AAB,IND600056AAA,2.8,4.22711776859504,11.90192,31.6,1.0,5,2.688135330578512,IND600116AAB → IND600056AAA
IND712311AAA,IND700088AAA,3.865948964793856,2.70736780320618,24.79915375,100.225,1.0,80,2.6585899268793964,IND712311AAA → IND700088AAA
IND635601AAB,IND635802AAB,3.3466662141011354,3.458799325869076,28.4498306122449,88.3265306122449,0.9387755102040817,49,2.6579389364624015,IND635601AAB → IND635802AAB
IND786181AAC,IND792120AAB,4.55129018592663,1.7561152312424753,42.805757692307694,137.3846153846154,1.0,26,2.647350643743395,IND786181AAC → IND792120AAB
IND207302AAA,IND202001AAB,3.0941120611527695,3.8335141364358227,43.90499047619047,114.80952380952381,0.8571428571428571,21,2.6448419225347117,IND207302AAA → IND202001AAB
IND331304AAA,IND332001AAB,3.7709642452905245,2.7486268868950106,94.71007142857142,276.35714285714283,1.0,14,2.632973764184713,IND331304AAA → IND332001AAB
IND781124AAA,IND781018AAB,5.133730530518659,0.8642103590600407,25.270087500000002,130.0625,1.0,16,2.612755319925476,IND781124AAA → IND781018AAB
IND632301AAA,IND632006AAA,3.368181818181818,3.2165702479338854,33.6392,97.5,1.0,2,2.612243801652893,IND632301AAA → IND632006AAA
IND205001AAB,IND205135AAA,3.0775241880770885,3.581479396209593,32.636594736842106,94.26315789473684,1.0,19,2.6054534940937133,IND205001AAB → IND205135AAA
IND410503AAA,IND410505AAB,3.705306340256788,2.737016439660806,25.5681875,68.5,1.0,8,2.603227468000957,IND410503AAA → IND410505AAB
IND152026AAA,IND000000ACA,3.7746560024151035,2.6275275553654067,103.05101879699248,330.9172932330827,1.0,133,2.5981206675756634,IND152026AAA → IND000000ACA
IND201007AAA,IND201005AAA,2.738782051282051,4.2997488288954635,11.217166666666666,40.666666666666664,0.6666666666666666,3,2.5854374691814597,IND201007AAA → IND201005AAA
IND400015AAB,IND421302AAG,3.4194219371042243,3.046528928673513,30.361694252873562,79.08045977011494,1.0,87,2.5817274534437438,IND400015AAB → IND421302AAG
IND500008AAC,IND501359AAE,2.912628936510924,3.706977987793749,19.902880952380954,55.61904761904762,1.0,21,2.5771449709424945,IND500008AAC → IND501359AAE
IND302006AAA,IND302014AAB,3.765248332612586,2.5516499996348956,12.809084615384617,41.80769230769231,1.0,26,2.5715943329355033,IND302006AAA → IND302014AAB
IND768201AAA,IND770001AAA,3.0,3.555555555555554,29.023699999999998,85.0,1.0,2,2.5666666666666664,IND768201AAA → IND770001AAA
IND110039AAA,IND110085AAB,3.8878940503940504,2.3715458004759333,12.202800000000002,53.166666666666664,1.0,6,2.5666213603004002,IND110039AAA → IND110085AAB
IND742202AAA,IND732103AAA,3.537581699346405,2.806746336878979,37.79925,105.0,1.0,2,2.557056580802256,IND742202AAA → IND732103AAA
IND122503AAA,IND122001AAA,3.7063827376327376,2.557820167852786,24.635225000000002,81.75,1.0,8,2.549899145408931,IND122503AAA → IND122001AAA
IND712311AAA,IND712410AAC,3.7783757372869116,2.4525920727786414,41.38505294117647,140.64705882352942,1.0,17,2.5471279167483574,IND712311AAA → IND712410AAC
IND713205AAB,IND713148AAA,4.4259259259259265,1.5627572016460918,22.627933333333335,79.66666666666667,1.0,3,2.539197530864198,IND713205AAB → IND713148AAA
