node,in_degree,out_degree,betweenness,pagerank,bottleneck_score
IND581334AAA,2,3,0.0004703151802961611,0.000715147595613758,0.9004026703508025
IND344001AAA,1,3,0.000803566268797123,0.0002184452499548325,0.9003869600825052
IND815353AAA,2,3,0.0006351050805236542,0.00042587030699736683,0.9003818031243086
IND852201AAA,3,3,0.0004026975247818082,0.0007317357776914793,0.90038059974322
IND140401AAA,2,3,0.0004028804028584574,0.0006978281019964799,0.9003705005917423
IND641607AAA,2,3,4.169620147604553e-05,0.00102184918421399,0.9003232332358545
IND624001AAA,2,3,2.121385689132141e-05,0.0009365502746662844,0.9002894506251563
IND132001AAA,2,3,0.0004021488905518602,0.0004253329000142856,0.9002884594262249
IND263601AAA,1,3,0.0004021488905518602,0.00039854502480253154,0.9002804230636614
IND425409AAA,3,3,9.143903832466125e-07,0.0007571848890126729,0.900227521222857
IND854335AAA,2,3,0.0003349655811267874,0.00029251827178067524,0.9002217417139848
IND815301AAA,1,3,0.00023387058035504254,0.00033962812290331857,0.9001954366690129
IND508206AAA,3,3,2.2054225195924184e-05,0.0005898843352521585,0.9001857869906539
IND854311AAA,2,3,0.0002008001281609561,0.00032737084058258043,0.9001785313034391
IND504296AAA,1,3,0.00020116588431425472,0.0002989311039910679,0.9001701456849229
IND560058AAB,3,3,9.7534974212972e-07,0.00048625703077092257,0.900146267249128
IND758034AAA,1,3,0.0,0.0004034430540178793,0.9001210329162053
IND124112AAA,1,3,0.0,0.0003031089926309087,0.9000909326977892
IND274509AAB,1,3,1.389873382534851e-05,0.0002559049318386696,0.9000823309730817
IND141003AAB,0,3,0.0,0.00012052430725825088,0.9000361572921773
IND000000ACT,0,3,0.0,0.00012052430725825088,0.9000361572921773
IND401209AAB,0,3,0.0,0.00012052430725825088,0.9000361572921773
IND785682AAA,2,2,0.007161871237740768,0.0009854230258739907,0.6031603754028585
IND785612AAB,2,2,0.007165528799273754,0.0007179655799190046,0.6030816011936851
IND341001AAC,2,2,0.005183130448395098,0.0007161682940718508,0.6022881026675796
IND695012AAA,5,2,0.004073060523133711,0.0019532768852357245,0.6022152072748241
IND723130AAA,3,2,0.004013442270146031,0.0013484048082302673,0.6020098983505274
IND784168AAB,3,2,0.004222471911756207,0.0010434463952152726,0.6020020226832671
IND334001AAC,1,2,0.004577804014685841,0.0003256691749559378,0.6019288223583611
IND583101AAA,3,2,0.0040116134893795384,0.0009682144728746951,0.6018951097376142
IND610001AAA,2,2,0.00361440230689721,0.0011040930217715247,0.6017769888292903
IND303702AAB,1,2,0.003796365993163286,0.0005120545801369111,0.6016721627713064
IND305404AAA,1,2,0.0028122990627132815,0.0013050692834110104,0.6015164404101085
IND686028AAB,3,2,0.0024278893455964056,0.001303257205956747,0.6013621329000256
IND515671AAA,1,2,0.0028038866711874127,0.0005133549235640214,0.6012755611455441
IND312001AAA,2,2,0.0024106988063913692,0.0008644073239527497,0.6012236017197423
IND515134AAA,3,2,0.0024106988063913692,0.0008633050636653532,0.6012232710416562
IND242307AAB,1,2,0.0024092357817781748,0.0006240576145755761,0.6011509115970839
IND312605AAB,2,2,0.002010195818529353,0.001024203882467813,0.601111339492152
IND572101AAA,3,2,0.0016129846360470245,0.0014124305143790132,0.6010689230087325
IND262001AAA,2,2,0.0016078640499008435,0.0013781975901880125,0.6010566048970167
IND000000AAZ,2,2,0.001607132537594246,0.0011017950644864065,0.6009733915343836
IND333028AAA,2,2,0.002015316404675534,0.0005518626745643781,0.6009716853642395
IND233001AAA,1,2,0.0020226315277415067,0.0005342709833514733,0.6009693339061021
IND505425AAA,3,2,0.001809578568445046,0.0008153404095293137,0.6009684335502368
IND577201AAA,3,2,0.0018090299342150983,0.0008109033813663484,0.600966882988096
IND573134AAB,2,2,0.001607132537594246,0.0010780332823768308,0.6009662629997508
IND370201AAA,2,2,0.0020105615746826514,0.0005332096152640426,0.6009641875144522
IND246763AAA,1,2,0.0020076355254562625,0.0005266159422368351,0.6009610389928536
IND591201AAA,1,2,0.0020072697693029637,0.0005160656468335248,0.6009577276017712
IND635802AAB,4,2,0.0016082298060541421,0.0008820214099873196,0.6009078983454178
IND742202AAA,1,2,0.0020116588431425475,0.00033959902994763427,0.6009065432462413
IND764071AAB,1,2,0.0016082298060541421,0.0008658000232469785,0.6009030319293958
IND335804AAD,2,2,0.0016064010252876489,0.000834389200654254,0.6008928771703114
IND413304AAA,2,2,0.0016082298060541421,0.0007944172582556915,0.6008816170998983
IND341505AAA,1,2,0.001607132537594246,0.0007848739918964275,0.6008783152126066
IND742401AAA,1,2,0.0016085955622074407,0.0007620371576826705,0.6008720493721877
IND249201AAA,2,2,0.0016089613183607394,0.0007024112666680815,0.6008543079073447
IND581320AAA,2,2,0.0015019584848652368,0.0008381233379265439,0.600852220395324
IND123401AAB,1,2,0.001608595562207441,0.0005989151621136346,0.6008231127735171
IND535501AAB,1,2,0.0016078640499008435,0.000570851204472015,0.6008144009813019
IND415709AAA,1,2,0.0016078640499008435,0.0005677358163110846,0.6008134663648537
IND263401AAA,3,2,0.000804663537257019,0.0016319682194649277,0.6008114558807423
IND712406AAA,1,2,0.0016060352691343502,0.0005511511501515131,0.6008077594526992
IND758001AAA,4,2,0.000804663537257019,0.001560438294075609,0.6007899969031255
IND484001AAA,2,2,0.001607132537594246,0.0004889121076111863,0.600789526647321
IND742226AAA,1,2,0.0016137161483536218,0.00045329810329582777,0.6007814758903302
IND581314AAA,3,2,0.001388443243090277,0.0007304878154045264,0.6007745236418575
IND742121AAB,2,2,0.0012075439401154765,0.0009540638045568221,0.6007692367174132
IND581402AAA,1,2,0.0016045722445211556,0.00040516000730597007,0.6007633769000003
IND515801AAA,2,2,0.001205532281272334,0.000932947941593048,0.6007620972949869
IND574211AAA,1,2,0.0016060352691343502,0.00038550626981580943,0.6007580659885985
IND532201AAA,2,2,0.001205532281272334,0.0009000878134058061,0.6007522392565307
IND425405AAA,2,2,0.00163310122447845,0.0003269973392701513,0.6007513396915724
IND577101AAA,3,2,0.0008050292934103177,0.0014300153648092375,0.6007510163268068
IND600016AAC,2,2,0.0012069953058855285,0.0008809338632185058,0.6007470782813198
IND484661AAE,1,2,0.0016056695129810516,0.0003441584677135427,0.6007455153455065
IND581110AAE,2,2,0.0008042977811037204,0.0013841474225310536,0.6007369633392008
IND476111AAA,2,2,0.0012058980374256324,0.0008289713833143549,0.6007310506299646
IND741156AAA,1,2,0.0012069953058855285,0.0008223284400237764,0.6007294966543614
IND344022AAB,1,2,0.0016056695129810516,0.00026899429783520354,0.600722966094543
IND721139AAC,2,2,0.0008101498795564987,0.001299117122976962,0.6007137950887157
IND305901AAA,1,2,0.001200411695126153,0.0007440839934169042,0.6007033898760755
IND416510AAA,2,2,0.0012062637935789313,0.0006859253560415886,0.600688283124244
IND110043AAA,3,2,0.0012073610620388273,0.0006684703864471543,0.6006834855407497
IND733128AAA,1,2,0.0012190652589443838,0.0006372131612971714,0.6006787900519669
IND757041AAA,2,2,0.0008050292934103177,0.0011736058795440507,0.6006740934812274
