source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count,corridor_risk,estimated_revenue_risk
129,5,3.7746560024151035,2.6275275553654067,103.05101879699248,330.9172932330827,1.0,133,2.5981206675756634,66500.0
170,168,2.738782051282051,4.2997488288954635,11.217166666666666,40.666666666666664,0.6666666666666666,3,2.5854374691814597,1000.0
522,600,3.4194219371042243,3.046528928673513,30.361694252873562,79.08045977011494,1.0,87,2.5817274534437438,43500.0
730,744,2.912628936510924,3.706977987793749,19.902880952380954,55.61904761904762,1.0,21,2.5771449709424945,10500.0
342,340,3.765248332612586,2.5516499996348956,12.809084615384617,41.80769230769231,1.0,26,2.5715943329355033,13000.0
1345,1328,3.0,3.555555555555554,29.023699999999998,85.0,1.0,2,2.5666666666666664,1000.0
29,37,3.8878940503940504,2.3715458004759333,12.202800000000002,53.166666666666664,1.0,6,2.5666213603004002,3000.0
1295,1245,3.537581699346405,2.806746336878979,37.79925,105.0,1.0,2,2.557056580802256,1000.0
53,49,3.7063827376327376,2.557820167852786,24.635225000000002,81.75,1.0,8,2.549899145408931,4000.0
1219,1204,3.7783757372869116,2.4525920727786414,41.38505294117647,140.64705882352942,1.0,17,2.5471279167483574,8500.0
1229,1211,4.4259259259259265,1.5627572016460918,22.627933333333335,79.66666666666667,1.0,3,2.539197530864198,1500.0
212,209,4.637619047619047,1.247683177437642,10.267644,31.36,1.0,25,2.5293525722789116,12500.0
1428,1406,3.9368850477358723,2.1741555092653195,31.175316666666667,91.80555555555556,1.0,36,2.527000671873945,18000.0
886,857,3.555949667888657,2.6781493674900143,46.04839833333333,129.18333333333334,1.0,60,2.525824677402467,30000.0
747,734,3.6157342657342655,2.581363228845746,13.6678,39.0,1.0,4,2.52070267494743,2000.0
1484,1437,4.612700605264359,1.2433634817045598,56.59983333333334,196.75,1.0,12,2.5180892866171116,6000.0
10,745,2.870285652461324,3.5321622384808484,17.048874193548386,40.16129032258065,1.0,31,2.5077629325287845,15500.0
1293,1283,4.0397178342490845,1.9592900690187431,16.666872916666666,44.520833333333336,1.0,48,2.5036741544052568,24000.0
204,197,3.1567412400261237,3.2523950050144737,33.892775,55.25,0.875,16,2.5009149975147915,7000.0
929,916,4.090247095239356,1.8718248701768003,46.56648421052631,168.73684210526315,1.0,19,2.4976462991487827,9500.0
562,556,3.6975324675324672,2.3756788270251463,13.093700000000002,33.6,1.0,10,2.4917166351205307,5000.0
478,475,3.221263613091651,2.967003082676363,30.058647457627117,83.38983050847457,0.9830508474576272,59,2.4735216242768576,29000.0
1193,1180,3.121212121212121,3.407713498622589,24.07213333333333,75.0,0.6666666666666666,3,2.4707988980716253,1000.0
528,600,3.148321528311121,3.009975573157317,22.478901142857143,57.25714285714286,1.0,175,2.4623212832716437,87500.0
538,601,3.4997099270164167,2.539949039034101,22.374754285714285,76.62857142857143,1.0,35,2.461868682516797,17500.0
1289,1275,4.330086903718618,1.374033406541164,20.68058,75.16,1.0,25,2.4442447834497965,12500.0
1265,1246,4.734024705453277,0.8344597838108412,39.40958333333334,163.33333333333334,1.0,6,2.443947817324563,3000.0
862,1319,4.939221394398397,0.5376618789220156,107.41827142857143,355.7857142857143,1.0,14,2.4369871214359637,7000.0
852,848,2.575106465350368,3.665131007125568,40.695766666666664,97.33333333333333,1.0,3,2.4295818882778173,1500.0
566,561,2.6610049574838306,3.7649089331072867,10.726254929577465,32.352112676056336,0.7746478873239436,71,2.426269029122901,27500.0
188,190,3.5614778176090485,2.333759768205513,23.44292608695652,59.130434782608695,1.0,23,2.4247190575052735,11500.0
601,602,4.172152560083594,1.5113981394780769,12.293975862068965,40.206896551724135,1.0,29,2.422280465876861,14500.0
1405,1384,4.734355981947616,0.741207562845292,141.68096153846153,491.84615384615387,1.0,13,2.4161046616326343,6500.0
230,227,3.42058596931974,2.5815163502832705,16.856163636363636,58.72727272727273,0.9090909090909091,11,2.4154165655401503,5000.0
1207,1202,3.3026237608280953,2.6434384315334003,17.026543750000002,44.4375,1.0,16,2.414081033791258,8000.0
28,19,3.601094821813885,2.24488918253372,21.85401153846154,75.03846153846153,1.0,26,2.4139046834856703,13000.0
537,600,3.1905260140986784,2.7823666775879974,19.020221568627452,54.15686274509804,1.0,51,2.410920408915871,25500.0
1170,1149,3.226786863336571,2.7293683833281697,28.637792592592593,99.22222222222223,1.0,27,2.4095252603330795,13500.0
521,523,3.3742642651973123,2.4953488264407038,15.998767142857144,50.457142857142856,1.0,70,2.3983103540111363,35000.0
1492,1475,4.2191229803758405,1.367954750747416,79.32072000000001,255.4,1.0,5,2.398035617374561,2500.0
570,559,4.334821428571429,1.198421556122449,15.539875,68.0,1.0,4,2.3934550382653064,2000.0
170,170,4.898496240601504,0.4416586579230026,12.4279,82.0,1.0,2,2.391896093617502,1000.0
1212,1202,4.988095238095238,0.30654761904761885,22.807533333333335,114.0,1.0,3,2.3872023809523806,1500.0
1222,1202,5.206896551724138,0.0,61.4109,302.0,1.0,2,2.382758620689655,1000.0
603,16,2.8480578686615594,3.094872645589905,19.235696907216493,50.44329896907217,1.0,97,2.3676849411415954,48500.0
48,53,5.038998357963876,0.1665084285795175,21.798166666666663,124.33333333333333,1.0,3,2.3655518717594055,1500.0
511,503,3.0709706959706957,2.7833813774747838,14.100033333333334,39.5,1.0,12,2.3634026916307134,6000.0
1335,1313,2.65548004382633,3.669621922937888,132.59129090909093,179.72727272727272,0.6363636363636364,11,2.3539876853209893,3500.0
1424,1407,3.085769230769231,2.712660157790927,35.038250000000005,78.0,1.0,4,2.3481057396449705,2000.0
567,566,4.86060606060606,0.3297704315886137,13.00145,64.0,1.0,2,2.343173553719008,1000.0
15,23,2.801445580067703,3.0764927364839685,30.61346862745098,85.94117647058823,0.9411764705882353,51,2.3258789941487423,24000.0
412,65,3.7600328823255396,1.735483321362654,85.97355999999999,320.2,1.0,5,2.324658149339012,2500.0
312,311,4.769230769230769,0.33846153846153876,18.897033333333336,60.5,1.0,6,2.3092307692307696,3000.0
1219,1190,3.4951660292116613,2.0136573763344527,16.28861304347826,57.108695652173914,1.0,46,2.3021636245850003,23000.0
524,523,5.0,0.0,11.184,60.0,1.0,2,2.3,1000.0
106,111,3.899611928104575,1.4651136198283783,20.792625,65.25,1.0,4,2.2993788571903435,2000.0
1321,1202,3.0944112630549108,2.5072570741707008,110.85576825396826,231.984126984127,1.0,63,2.2899416274731745,31500.0
373,360,3.291808899951848,2.197687853916209,35.782266666666665,94.08333333333333,1.0,12,2.2760299161556024,6000.0
1004,987,3.3841980667017406,2.072496276497528,52.93369166666667,123.33333333333333,1.0,36,2.2754281096299547,18000.0
539,16,4.712121212121212,0.28696051423324165,10.32765,47.5,1.0,2,2.270936639118457,1000.0
1294,1283,3.772913752913753,1.441601501839264,32.212,93.2,1.0,5,2.2416459517172806,2500.0
1485,1437,3.8524419753184724,1.3352076958967554,75.3161025,231.4125,1.0,80,2.2415390988964154,40000.0
1019,1010,4.55,0.4050000000000003,12.08535,50.5,1.0,2,2.2415000000000003,1000.0
1497,1473,2.935999702911467,2.5516766086262193,26.863540909090908,54.86363636363637,1.0,22,2.2399028637524525,11000.0
1386,1367,4.036904761904762,1.0576133786848076,28.829425,82.75,1.0,4,2.2320459183673473,2000.0
862,858,3.2161685297622165,2.187807898859885,16.817703846153847,43.92307692307692,0.9615384615384616,26,2.2312713200243905,12500.0
1470,1437,3.2241086548255424,2.1258289286516083,83.40459203539822,203.06194690265488,1.0,113,2.2273921405256996,56500.0
703,1438,3.4434476846792488,1.81294151964357,77.00393125,194.3125,1.0,32,2.221261529764771,16000.0
17,1261,4.5964912280701755,0.2696214219759927,27.9396,87.33333333333333,1.0,3,2.2194829178208684,1500.0
1151,1143,2.9395915421366983,2.453832023835378,29.26582857142857,86.71428571428571,1.0,21,2.211986224005293,10500.0
749,7,3.4421820136038987,1.7817351192577138,19.265804545454543,53.0,1.0,22,2.2113933412188738,11000.0
1297,1282,4.463876488095238,0.4116573351170665,12.4566375,36.5,1.0,32,2.2090477957732153,16000.0
1303,1191,3.487559266130695,1.7096074603263842,45.94838571428571,162.14285714285714,1.0,7,2.2079059445501934,3500.0
878,875,3.666020099796191,1.4671444928625343,34.07609411764706,106.0,1.0,17,2.2065513877772367,8500.0
309,304,3.3430506007355514,1.9347993653911568,54.776697000000006,144.44,0.95,100,2.2026600499115676,47500.0
129,135,3.6068326684947687,1.5140244701916874,136.03533,417.1,1.0,10,2.1969404084554136,5000.0
69,65,3.6165884590172444,1.4834696244155827,32.90025,93.0,1.0,6,2.191676270931573,3000.0
530,600,2.9523665891372572,2.345554562300406,21.690018115942028,52.28260869565217,1.0,276,2.184613004345025,138000.0
296,254,4.109171907756814,0.7920448245058871,43.39553333333333,159.0,1.0,3,2.1812822104544916,1500.0
1209,1202,3.27406570491729,1.8840385315990804,17.14747857142857,52.04761904761905,1.0,42,2.1748378414466405,21000.0
1390,1366,3.75453431372549,1.239464766298677,23.28935,59.75,1.0,8,2.1736531553797995,4000.0
1298,1275,3.2857340946409774,1.8567255421224407,25.250033333333334,65.97435897435898,1.0,39,2.171311300493123,19500.0
1117,1106,3.457681182841029,1.6225890140653911,38.90562857142857,120.0,1.0,7,2.169849177356029,3500.0
